time (s),B_z (T)
4.7100000000000005e-08,2.865337746271298e-05
4.72e-08,2.828139263162788e-05
4.73e-08,1.3361824229920502e-05
4.74e-08,1.1993530925352727e-05
4.75e-08,1.0819927315672468e-05
4.76e-08,2.4285693542192686e-05
4.7700000000000004e-08,1.4607803597139907e-05
4.7800000000000005e-08,1.1932474129335573e-05
4.79e-08,2.2860633077482447e-05
4.8e-08,2.5547169553941137e-05
4.81e-08,2.894091612589711e-05
4.82e-08,2.9394983711727246e-05
4.83e-08,3.123917191251783e-05
4.84e-08,3.596403922207812e-05
4.8500000000000004e-08,3.036405868465649e-05
4.8600000000000005e-08,3.574812901807174e-05
4.87e-08,2.650103302012516e-05
4.88e-08,2.8363813343779906e-05
4.89e-08,2.923909285485216e-05
4.9e-08,2.4957121901131725e-05
4.91e-08,2.456188737744298e-05
4.9200000000000004e-08,2.028600018598627e-05
4.9300000000000005e-08,1.3143947079249466e-05
4.94e-08,1.0723197689044107e-05
4.95e-08,3.4672074768864433e-06
4.96e-08,5.5231042747623395e-06
4.97e-08,-1.9796616474583636e-06
4.98e-08,2.6507106531671423e-06
4.9900000000000003e-08,-5.026775340484465e-06
5.0000000000000004e-08,-8.644013283439589e-06
5.01e-08,-1.260285762823368e-05
5.02e-08,-3.895972276688425e-06
5.03e-08,-1.7182902409308764e-06
5.04e-08,-3.072354645872976e-06
5.05e-08,1.8786064818119163e-07
5.06e-08,-1.3459923236392995e-05
5.0700000000000004e-08,-1.3605322505422608e-05
5.0800000000000005e-08,-5.342947814732733e-07
5.09e-08,3.2808099755365337e-07
5.1e-08,7.646137442940043e-07
5.11e-08,4.306616684368348e-06
5.12e-08,1.0063592906430104e-05
5.13e-08,-2.9718865128115055e-06
5.1400000000000004e-08,-1.383685207065546e-05
5.1500000000000005e-08,-1.2337352937819609e-05
5.16e-08,-1.684404561516902e-05
5.17e-08,-8.17993271840272e-06
5.18e-08,-1.0139571039505668e-05
5.19e-08,-2.2566460215134397e-05
5.2e-08,-3.0553420047318546e-05
5.21e-08,-4.80559671508078e-05
5.2200000000000004e-08,-4.909397004624443e-05
5.2300000000000005e-08,-4.9825428978067435e-05
5.24e-08,-5.2078425207021996e-05
5.25e-08,-4.457355021766843e-05
5.26e-08,-3.636857111014847e-05
5.27e-08,-3.7110111944551e-05
5.28e-08,-5.05648699178061e-05
5.2900000000000004e-08,-4.606430258412033e-05
5.3000000000000005e-08,-4.200951159058974e-05
5.31e-08,-3.958792877337454e-05
5.32e-08,-3.283808194379654e-05
5.33e-08,-4.00546189380711e-05
5.34e-08,-2.6647619654957887e-05
5.35e-08,-3.259560579112462e-05
5.3600000000000004e-08,-2.741939992939046e-05
5.3700000000000004e-08,-3.807362541055812e-05
5.38e-08,-4.371906451516792e-05
5.39e-08,-3.3464238458658544e-05
5.4e-08,-3.482081841304508e-05
5.41e-08,-2.9035111521836713e-05
5.42e-08,-2.721171381244704e-05
5.43e-08,-2.7620648654336458e-05
5.4400000000000004e-08,-1.851369412793669e-05
5.4500000000000005e-08,-1.986205280419703e-05
5.46e-08,-3.119625980505699e-05
5.47e-08,-3.608753441563243e-05
5.48e-08,-3.2159008608497793e-05
5.49e-08,-2.9277753517583065e-05
5.5e-08,-3.913450864458099e-05
5.5100000000000004e-08,-4.343586552697949e-05
5.5200000000000005e-08,-4.677082629577372e-05
5.53e-08,-4.86721842751909e-05
5.54e-08,-5.709813262008287e-05
5.55e-08,-6.059924957626843e-05
5.56e-08,-6.471466753202844e-05
5.57e-08,-5.907439273706767e-05
5.5800000000000003e-08,-5.324682408567602e-05
5.5900000000000004e-08,-5.366125966148522e-05
5.6000000000000005e-08,-5.5666121993687035e-05
5.61e-08,-5.420610244468062e-05
5.62e-08,-5.8954781191628785e-05
5.63e-08,-6.579491274400501e-05
5.64e-08,-7.122899762251562e-05
5.65e-08,-7.463122807231496e-05
5.6600000000000004e-08,-8.142314605827003e-05
5.6700000000000005e-08,-7.956349474069741e-05
5.68e-08,-7.404627711386818e-05
5.69e-08,-8.358735485449876e-05
5.7e-08,-8.259291637974128e-05
5.71e-08,-8.319537989029426e-05
5.72e-08,-8.015600440569107e-05
5.7300000000000004e-08,-7.944222868318642e-05
5.7400000000000004e-08,-8.806509281167488e-05
5.7500000000000005e-08,-9.536390603625445e-05
5.76e-08,-9.422447591377142e-05
5.77e-08,-8.662466988074301e-05
5.78e-08,-0.00010010154107327852
5.79e-08,-9.686663191742343e-05
5.8e-08,-8.819894919771203e-05
5.8100000000000004e-08,-8.831233146499916e-05
5.8200000000000005e-08,-8.38705663921449e-05
5.83e-08,-8.758902792992047e-05
5.84e-08,-8.749050314853566e-05
5.85e-08,-9.71167917330805e-05
5.86e-08,-0.00011133213817437576
5.87e-08,-0.00010411913122956962
5.8800000000000004e-08,-0.0001094618327773902
